Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
A Bagai,15,343,556,13,26.38,61.69,84,38,0,2,0
A Balbirnie,6,236,260,6,39.33,90.77,97,20,4,2,0
A Codrington,5,28,65,5,5.60,43.08,16,2,0,0,0
A Dutt,9,70,87,6,11.67,80.46,23,1,5,0,0
A Flintoff,12,248,357,12,20.67,69.47,64,20,7,1,0
A Flower,7,332,459,7,47.43,72.33,71,30,1,3,0
A Kumble,2,25,45,1,25.00,55.56,16,1,0,0,0
A Nehra,3,9,9,2,4.50,100.00,8,2,0,0,0
A Nel,2,9,46,2,4.50,19.57,8,1,0,0,0
A Patel,1,25,29,1,25.00,86.21,25,3,0,0,0
A Shahzad,2,7,5,1,7.00,140.00,6,0,1,0,0
A Symonds,13,515,552,5,103.00,93.30,143,51,10,3,1
A Zampa,7,49,63,4,12.25,77.78,29,5,0,0,0
AA Mulla,3,83,101,3,27.67,82.18,58,7,2,1,0
AA Obanda,3,43,65,3,14.33,66.15,23,4,2,0,0
AAP Atkinson,3,37,23,2,18.50,160.87,35,7,0,0,0
AB Agarkar,2,10,27,2,5.00,37.04,10,0,0,0,0
AB de Villiers,22,"1,207","1,029",19,63.53,117.30,162,121,37,6,4
Abdul Razzaq,11,203,273,9,22.56,74.36,62,23,0,1,0
Abdullah Shafique,8,336,361,8,42.00,93.07,113,36,9,3,1
Abdur Razzak,11,44,88,9,4.89,50.00,15,3,0,0,0
Abdur Rehman,2,6,13,1,6.00,46.15,5,0,0,0,0
AC Botha,9,84,174,8,10.50,48.28,28,4,1,0,0
AC Cummins,2,10,11,1,10.00,90.91,9,1,0,0,0
AC Evans,3,38,57,2,19.00,66.67,28,5,0,0,0
AC Gilchrist,21,861,823,20,43.05,104.62,149,114,17,6,1
AD Hales,2,64,67,2,32.00,95.52,37,7,2,0,0
AD Mathews,20,584,699,17,34.35,83.55,113,45,13,2,1
AD Russell,12,192,143,10,19.20,134.27,49,12,15,0,0
Adeel Raja,4,10,34,3,3.33,29.41,8,1,0,0,0
ADR Campbell,1,7,25,1,7.00,28.00,7,0,0,0,0
AF Buurman,2,26,32,2,13.00,81.25,26,4,0,0,0
AF Giles,2,19,30,2,9.50,63.33,17,0,1,0,0
AF Milne,2,1,5,1,1.00,20.00,1,0,0,0,0
AF Sattaur,3,20,60,3,6.67,33.33,13,0,1,0,0
Afsar Zazai,6,36,99,6,6.00,36.36,19,1,0,0,0
Aftab Ahmed,9,128,151,9,14.22,84.77,35,12,3,0,0
Aftab Alam,4,28,24,3,9.33,116.67,14,5,1,0,0
AG Cremer,4,99,144,3,33.00,68.75,37,8,0,0,0
AG Prince,6,107,136,5,21.40,78.68,47,8,1,0,0
Agha Salman,1,51,45,1,51.00,113.33,51,6,1,1,0
Ahmed Shehzad,12,271,404,12,22.58,67.08,93,31,1,2,0
AJ Bichel,3,117,140,1,117.00,83.57,64,10,3,1,0
AJ Burger,6,199,198,6,33.17,100.51,85,25,3,1,0
AJ Finch,18,787,801,18,43.72,98.25,153,73,24,4,3
AJ Hall,5,50,49,3,16.67,102.04,22,3,1,0,0
AJ McKay,1,0,2,1,0.00,0.00,0,0,0,0,0
AJ Stewart,4,136,204,4,34.00,66.67,60,11,1,1,0
AJ Strauss,11,417,483,11,37.91,86.34,158,39,5,1,1
AK Markram,16,546,552,15,36.40,98.91,106,61,10,3,1
Akram Khan,1,13,38,1,13.00,34.21,13,0,0,0,0
AL Phehlukwayo,8,172,193,4,43.00,89.12,46,17,5,0,0
Al Sahariar,5,38,69,5,7.60,55.07,14,5,1,0,0
Alok Kapali,4,62,99,4,15.50,62.63,32,4,1,0,0
AM Blignaut,6,123,89,6,20.50,138.20,58,15,2,2,0
AM Guruge,2,14,26,0,0,53.85,10,1,0,0,0
AM Rahane,7,208,252,6,34.67,82.54,79,21,3,1,0
AM Samad,4,72,133,4,18.00,54.14,36,7,1,0,0
Amjad Ali,6,96,185,6,16.00,51.89,45,11,0,0,0
Amjad Javed,6,170,195,5,34.00,87.18,56,21,4,1,0
AN Kervezee,8,98,180,8,12.25,54.44,18,12,0,0,0
Anamul Haque,2,58,98,2,29.00,59.18,29,5,1,0,0
AO Suji,3,21,45,3,7.00,46.67,14,2,0,0,0
AR Adams,5,90,76,4,22.50,118.42,36,6,6,0,0
AR Berenger,6,53,111,6,8.83,47.75,22,7,0,0,0
AR Caddick,4,25,57,1,25.00,43.86,13,2,0,0,0
AR Cusack,8,99,127,5,19.80,77.95,47,8,1,0,0
AR McBrine,1,2,4,0,0,50.00,2,0,0,0,0
AR Nurse,2,20,26,1,20.00,76.92,19,4,0,0,0
AR White,10,143,210,10,14.30,68.10,38,14,0,0,0
Arafat Sunny,1,3,3,0,0,100.00,3,0,0,0,0
AS Hansra,6,215,373,5,43.00,57.64,70,16,5,2,0
Asad Shafiq,3,154,217,2,77.00,70.97,78,14,0,1,0
Asghar Afghan,11,226,272,11,20.55,83.09,54,19,6,1,0
Asif Ali,2,19,19,2,9.50,100.00,14,0,1,0,0
AT Carey,10,375,362,7,53.57,103.59,85,46,2,3,0
AT Nidamanuru,7,164,167,6,27.33,98.20,54,11,10,1,0
AU Rashid,13,137,128,9,15.22,107.03,25,11,3,0,0
AY Karim,2,0,2,0,0,0.00,0,0,0,0,0
Azhar Mahmood,1,2,21,1,2.00,9.52,2,0,0,0,0
Azmatullah Omarzai,8,353,361,5,70.60,97.78,97,26,13,3,0
B Kumar,2,2,4,2,1.00,50.00,2,0,0,0,0
B Lee,4,28,43,3,9.33,65.12,15,1,2,0,0
B Zuiderent,13,105,235,12,8.75,44.68,43,9,2,0,0
BA Murphy,2,3,11,2,1.50,27.27,2,0,0,0,0
BA Stokes,16,769,840,13,59.15,91.55,108,64,23,7,1
BA Westdijk,2,0,3,2,0.00,0.00,0,0,0,0,0
Babar Azam,17,794,926,15,52.93,85.75,101,82,6,7,1
BAW Mendis,1,0,2,0,0,0.00,0,0,0,0,0
BB McCullum,27,742,614,22,33.73,120.85,101,77,29,6,1
BB Seebaran,2,4,13,1,4.00,30.77,4,0,0,0,0
BC Lara,14,517,636,13,39.77,81.29,116,44,12,2,1
BFW de Leede,9,139,199,9,15.44,69.85,67,15,2,1,0
BJ Haddin,11,458,501,9,50.89,91.42,88,56,9,4,0
BJ Hodge,2,152,117,2,76.00,129.91,123,11,7,0,1
BJ Patel,5,56,116,5,11.20,48.28,32,9,0,0,0
BKG Mendis,16,437,471,16,27.31,92.78,122,35,17,1,1
BL Kotze,4,27,51,3,9.00,52.94,24,3,0,0,0
BMAJ Mendis,5,32,72,4,8.00,44.44,18,2,1,0,0
BO van Rooi,3,26,38,1,26.00,68.42,17,3,0,0,0
BP Kruger,1,8,12,1,8.00,66.67,8,1,0,0,0
BP Loots,2,6,8,2,3.00,75.00,6,0,1,0,0
BRM Taylor,15,690,778,15,46.00,88.69,138,68,14,3,2
C de Grandhomme,8,190,189,8,23.75,100.53,64,16,4,2,0
C Green,3,63,83,3,21.00,75.90,47,6,0,0,0
C Karunaratne,2,8,28,2,4.00,28.57,6,1,0,0,0
C Munro,6,125,128,5,25.00,97.66,58,17,2,1,0
C White,4,79,81,3,26.33,97.53,35,6,0,0,0
CA Ingram,1,46,43,1,46.00,106.98,46,7,0,0,0
CAK Rajitha,4,52,57,4,13.00,91.23,33,6,1,0,0
CB Mpofu,5,7,31,4,1.75,22.58,3,0,0,0,0
CB Wishart,7,293,343,6,48.83,85.42,172,33,3,0,1
CBRLS Kumara,1,4,8,1,4.00,50.00,4,1,0,0,0
CD Collymore,5,22,23,2,11.00,95.65,12,0,2,0,0
CD McMillan,15,353,419,13,27.15,84.25,75,28,12,2,0
CH Gayle,34,"1,186","1,310",33,35.94,90.53,215,116,49,6,2
CH Morris,4,74,61,3,24.67,121.31,42,4,3,0,0
CJ Anderson,8,231,213,7,33.00,108.45,75,22,9,2,0
CJ Chibhabha,7,125,217,7,17.86,57.60,64,19,0,1,0
CJ Jordan,1,0,1,1,0.00,0.00,0,0,0,0,0
CJ Smith,1,0,5,1,0.00,0.00,0,0,0,0,0
CJO Smith,3,85,129,3,28.33,65.89,51,13,0,1,0
CK Coventry,3,18,36,3,6.00,50.00,14,1,1,0,0
CK Kapugedera,2,3,8,2,1.50,37.50,2,0,0,0,0
CK Langeveldt,4,16,57,3,5.33,28.07,9,1,0,0,0
CL Cairns,7,223,273,6,37.17,81.68,54,15,6,1,0
CL Hooper,6,99,124,5,19.80,79.84,45,3,1,0,0
CL White,6,70,113,4,17.50,61.95,22,4,0,0,0
CM Wright,2,5,28,2,2.50,17.86,4,0,0,0,0
CN Ackermann,9,216,263,9,24.00,82.13,69,27,0,1,0
CO Obuya,15,362,528,13,27.85,68.56,98,27,9,2,0
CR Brathwaite,6,154,145,5,30.80,106.21,101,13,8,0,1
CR Ervine,12,390,449,12,32.50,86.86,85,36,8,4,0
CR Woakes,23,355,398,18,19.72,89.20,51,30,5,1,0
CRD Fernando,6,33,42,3,11.00,78.57,13,5,0,0,0
CS MacLeod,6,48,63,6,8.00,76.19,22,8,0,0,0
CT Tremlett,1,3,7,1,3.00,42.86,3,0,0,0,0
CZ Harris,6,116,170,3,38.67,68.24,38,10,0,0,0
D Bishoo,3,6,15,1,6.00,40.00,6,1,0,0,0
D Joseph,3,13,24,0,0,54.17,9,1,0,0,0
D Keulder,6,132,219,6,22.00,60.27,52,11,0,1,0
D Langford-Smith,8,67,72,4,16.75,93.06,18,6,2,0,0
D Madushanka,6,28,67,2,14.00,41.79,19,4,0,0,0
D Mongia,6,120,209,6,20.00,57.42,42,8,1,0,0
D Pretorius,2,3,6,2,1.50,50.00,2,0,0,0,0
D Ramdin,12,191,245,10,19.10,77.96,52,20,0,2,0
DA Gunawardene,2,42,66,2,21.00,63.64,41,2,0,0,0
DA Marillier,4,41,56,4,10.25,73.21,21,4,0,0,0
DA Miller,21,816,720,17,48.00,113.33,138,54,35,1,2
DA Minors,3,48,64,3,16.00,75.00,23,4,2,0,0
DA Warner,29,"1,527","1,505",27,56.56,101.46,178,154,41,5,6
Danish Kaneria,1,6,4,0,0,150.00,6,1,0,0,0
Dawlat Zadran,8,25,73,8,3.12,34.25,9,4,0,0,0
DB Kotze,6,82,135,5,16.40,60.74,27,3,1,0,0
DBL Powell,6,56,52,4,14.00,107.69,48,2,3,0,0
DC Thomas,6,41,76,6,6.83,53.95,15,3,0,0,0
DCC Borden,3,21,74,3,7.00,28.38,13,2,0,0,0
DD Ebrahim,5,79,123,5,15.80,64.23,32,5,0,0,0
DF Watts,2,33,69,2,16.50,47.83,24,2,1,0,0
DJ Bravo,9,169,195,7,24.14,86.67,40,11,5,0,0
DJ Hussey,2,52,34,1,52.00,152.94,38,4,2,0,0
DJ Malan,9,404,400,9,44.89,101.00,140,50,9,2,1
DJ Mitchell,9,552,497,8,69.00,111.07,134,48,22,2,2
DJ Reekers,3,38,33,3,12.67,115.15,25,8,0,0,0
DJ Willey,6,78,67,4,19.50,116.42,16,7,6,0,0
DJG Sammy,11,231,226,11,21.00,102.21,89,21,9,1,0
DL Hemp,3,90,127,2,45.00,70.87,76,10,1,1,0
DL Vettori,17,167,199,11,15.18,83.92,44,20,1,0,0
DLS van Bunge,7,173,294,7,24.71,58.84,62,19,2,1,0
DM Bravo,10,207,293,9,23.00,70.65,73,15,6,1,0
DM de Silva,14,248,358,11,22.55,69.27,34,21,4,0,0
DN Wellalage,3,12,18,3,4.00,66.67,10,1,0,0,0
DO Obuya,10,81,189,9,9.00,42.86,51,6,0,1,0
DP Conway,10,372,366,9,41.33,101.64,152,54,4,0,1
DPMD Jayawardene,30,998,"1,174",27,36.96,85.01,115,83,12,5,4
DR Brown,3,64,102,2,32.00,62.75,45,6,0,0,0
DR Chumney,6,95,162,5,19.00,58.64,28,8,3,0,0
DR Martyn,8,323,395,5,64.60,81.77,88,21,2,4,0
DR Smith,10,142,146,10,14.20,97.26,32,16,6,0,0
DR Tuffey,2,15,16,2,7.50,93.75,11,2,0,0,0
DS Lehmann,8,224,272,5,44.80,82.35,56,20,3,2,0
DS Smith,10,399,536,10,39.90,74.44,107,42,2,3,1
DT Hondo,4,3,26,2,1.50,11.54,2,0,0,0,0
DT Johnston,12,171,190,9,19.00,90.00,30,12,6,0,0
DW Steyn,4,45,73,4,11.25,61.64,20,7,0,0,0
E Chigumbura,13,235,261,10,23.50,90.04,38,20,8,0,0
E Lewis,5,131,161,5,26.20,81.37,70,12,4,2,0
E Otieno,5,13,37,4,3.25,35.14,8,1,0,0,0
E Schiferli,6,75,111,6,12.50,67.57,22,10,1,0,0
EC Joyce,17,574,735,17,33.76,78.10,112,55,7,4,1
EC Rainsford,1,1,1,1,1.00,100.00,1,0,0,0,0
Ehsan Adil,1,15,22,1,15.00,68.18,15,1,0,0,0
Ehsanul Haque,4,28,72,4,7.00,38.89,13,4,0,0,0
EJG Morgan,27,672,792,26,25.85,84.85,148,56,26,3,1
ES Szwarczynski,5,81,151,5,16.20,53.64,28,9,1,0,0
F Behardien,2,74,36,0,0,205.56,64,5,4,1,0
F du Plessis,21,926,"1,070",16,57.88,86.54,109,74,11,7,2
F Kasteni,2,9,24,2,4.50,37.50,9,0,0,0,0
FA Allen,2,51,33,2,25.50,154.55,51,7,1,1,0
Fakhar Zaman,12,406,406,11,36.91,100.00,126,38,21,2,1
Fazalhaq Farooqi,3,2,9,1,2.00,22.22,2,0,0,0,0
FDM Karunaratne,11,274,386,10,27.40,70.98,97,26,0,2,0
FRJ Coleman,3,77,97,3,25.67,79.38,70,7,0,1,0
G Coetzee,4,54,78,4,13.50,69.23,22,4,1,0,0
G Gambhir,9,393,462,9,43.67,85.06,97,37,0,4,0
G Kirsten,6,186,217,3,62.00,85.71,69,24,2,3,0
G Snyman,4,5,9,4,1.25,55.56,5,1,0,0,0
GA Lamb,5,62,86,4,15.50,72.09,18,4,1,0,0
GA Rogers,2,32,49,2,16.00,65.31,26,5,0,0,0
GB Brent,2,12,21,2,6.00,57.14,9,0,1,0,0
GB Hogg,8,87,83,5,17.40,104.82,40,6,3,0,0
GB Murgatroyd,6,90,145,6,15.00,62.07,52,7,1,1,0
GC Smith,20,747,865,19,39.32,86.36,91,84,6,6,0
GC Wilson,10,263,281,10,26.30,93.59,80,28,5,2,0
GD Elliott,8,310,294,7,44.29,105.44,84,29,7,2,0
GD McGrath,1,3,2,0,0,150.00,3,0,0,0,0
GD Phillips,9,285,255,7,40.71,111.76,71,22,14,2,0
GEF Barnett,3,88,129,3,29.33,68.22,41,15,0,0,0
GH Dockrell,9,96,138,6,16.00,69.57,25,8,3,0,0
GJ Bailey,1,55,69,1,55.00,79.71,55,3,0,1,0
GJ Maxwell,25,901,562,19,47.42,160.32,201,94,43,2,3
GJ Whittall,4,59,71,4,14.75,83.10,30,5,1,0,0
GM Hamilton,3,11,44,3,3.67,25.00,4,0,0,0,0
GP Swann,6,60,51,4,15.00,117.65,16,7,1,0,0
GR Codrington,1,7,8,0,0,87.50,7,1,0,0,0
GS Ballance,4,36,71,4,9.00,50.70,10,3,0,0,0
Gulbadin Naib,10,194,244,10,19.40,79.51,47,20,2,0,0
GW Flower,6,177,225,5,35.40,78.67,78,14,2,1,0
H Klaasen,10,373,280,9,41.44,133.21,109,28,19,1,1
H Masakadza,6,122,161,6,20.33,75.78,80,12,2,1,0
H Osinde,5,7,19,4,1.75,36.84,4,0,0,0,0
H Patel,2,85,80,2,42.50,106.25,54,10,4,1,0
HA Varaiya,2,5,23,0,0,21.74,4,0,0,0,0
Habibul Bashar,10,105,238,10,10.50,44.12,32,5,0,0,0
Hamid Hassan,11,53,110,7,7.57,48.18,16,6,1,0,0
Hannan Sarkar,3,34,60,3,11.33,56.67,25,6,0,0,0
Harbhajan Singh,12,93,113,9,10.33,82.30,28,8,3,0,0
Haris Rauf,5,53,45,3,17.67,117.78,35,5,4,0,0
Haris Sohail,11,375,453,11,34.09,82.78,89,33,6,3,0
Hasan Ali,6,63,52,5,12.60,121.15,32,7,4,0,0
Hasan Mahmud,1,15,25,1,15.00,60.00,15,2,0,0,0
Hashmatullah Shahidi,17,507,773,14,36.21,65.59,80,45,4,5,0
Hazratullah Zazai,5,96,102,5,19.20,94.12,34,12,2,0,0
HC Brook,6,169,150,6,28.17,112.67,66,20,5,1,0
HDRL Thirimanne,12,445,519,10,44.50,85.74,139,40,2,3,1
HE van der Dussen,16,759,874,14,54.21,86.84,133,53,18,5,2
HH Dippenaar,3,108,158,3,36.00,68.35,80,9,1,1,0
HH Gibbs,14,726,754,10,72.60,96.29,143,72,24,6,1
HH Pandya,10,237,209,7,33.86,113.40,48,21,5,0,0
HH Streak,6,166,169,4,41.50,98.22,72,15,4,1,0
HJC Mol,3,38,94,3,12.67,40.43,23,4,0,0,0
HJH Marshall,3,81,98,2,40.50,82.65,50,6,1,1,0
HJW Gardiner,3,24,53,3,8.00,45.28,19,3,0,0,0
HK Bennett,1,0,4,1,0.00,0.00,0,0,0,0,0
HK Olonga,1,3,12,1,3.00,25.00,3,0,0,0,0
HM Amla,22,842,"1,012",20,42.10,83.20,159,77,6,5,2
HM Nicholls,4,91,149,4,22.75,61.07,55,8,0,1,0
HMCM Bandara,1,17,19,1,17.00,89.47,17,0,2,0,0
HMRKB Herath,2,17,29,1,17.00,58.62,13,2,0,0,0
HP Tillakaratne,6,178,305,5,35.60,58.36,81,18,0,1,0
HS Baidwan,5,54,79,3,18.00,68.35,17,6,0,0,0
HS Modi,7,101,266,6,16.83,37.97,39,5,0,0,0
I Maraj,6,98,264,5,19.60,37.12,53,12,0,1,0
I Udana,7,45,75,6,7.50,60.00,17,3,1,0,0
I Wardlaw,3,1,5,2,0.50,20.00,1,0,0,0,0
Ibrahim Zadran,9,376,493,8,47.00,76.27,129,39,5,1,1
ID Blackwell,2,38,30,1,38.00,126.67,22,6,0,0,0
IDR Bradshaw,2,26,62,1,26.00,41.94,20,1,0,0,0
Iftikhar Ahmed,8,142,123,6,23.67,115.45,40,11,8,0,0
Iftikhar Anjum,3,51,77,2,25.50,66.23,32,2,2,0,0
IH Romaine,3,11,32,3,3.67,34.38,11,2,0,0,0
IJ Harvey,5,66,86,3,22.00,76.74,28,9,0,0,0
IJL Trott,7,422,522,7,60.29,80.84,92,28,0,5,0
Ikram Alikhil,10,231,347,7,33.00,66.57,86,17,3,2,0
Imad Wasim,5,162,138,3,54.00,117.39,49,20,1,0,0
Imam-ul-Haq,14,467,580,14,33.36,80.52,100,55,1,2,1
Imran Nazir,3,190,175,3,63.33,108.57,160,17,9,0,1
Imran Tahir,8,20,34,4,5.00,58.82,10,1,0,0,0
Imrul Kayes,9,197,312,8,24.62,63.14,73,21,0,2,0
Inzamam-ul-Haq,9,93,145,9,10.33,64.14,37,8,3,0,0
IR Bell,21,718,995,20,35.90,72.16,81,62,2,6,0
IS Billcliff,9,251,413,9,27.89,60.77,71,24,3,2,0
IS Sodhi,1,5,4,1,5.00,125.00,5,1,0,0,0
Ishan Kishan,2,47,48,2,23.50,97.92,47,5,2,0,0
J Botha,4,58,59,3,19.33,98.31,23,5,1,0,0
J Charles,2,58,46,2,29.00,126.09,55,9,2,1,0
J Mubarak,1,0,2,1,0.00,0.00,0,0,0,0,0
J Smits,6,61,150,4,15.25,40.67,26,4,0,0,0
J Srinath,3,1,7,3,0.33,14.29,1,0,0,0,0
JAR Blain,2,41,63,1,41.00,65.08,23,2,2,0,0
Javed Ahmadi,6,97,122,6,16.17,79.51,51,13,0,1,0
Javed Omar,3,55,141,3,18.33,39.01,22,6,0,0,0
JC Archer,6,13,22,4,3.25,59.09,7,1,0,0,0
JC Buttler,23,591,500,22,26.86,118.20,103,50,15,3,1
JC Tredwell,1,9,20,1,9.00,45.00,9,0,0,0,0
JD Ryder,5,184,265,5,36.80,69.43,83,21,0,1,0
JDP Oram,14,259,360,11,23.55,71.94,63,11,8,1,0
JDS Neesham,10,290,341,9,32.22,85.04,97,19,8,2,0
JE Root,25,"1,034","1,173",23,44.96,88.15,121,88,6,6,3
JE Taylor,7,74,89,6,12.33,83.15,15,9,0,0,0
JEC Franklin,8,147,138,4,36.75,106.52,34,9,5,0,0
JF Kloppenburg,5,158,243,5,31.60,65.02,121,11,4,0,1
JF Mooney,13,132,200,10,13.20,66.00,33,15,0,0,0
JH Davey,6,55,88,4,13.75,62.50,26,5,0,0,0
JH Kallis,20,773,976,17,45.47,79.20,128,66,9,5,1
JJ Bumrah,4,19,30,1,19.00,63.33,16,1,0,0,0
JJ Esmeijer,3,3,19,2,1.50,15.79,3,0,0,0,0
JJ Krejza,1,7,19,1,7.00,36.84,7,0,0,0,0
JJ Roy,7,443,384,7,63.29,115.36,153,51,12,4,1
JJ Tucker,3,13,33,3,4.33,39.39,9,2,0,0,0
JK Kamande,6,56,123,6,9.33,45.53,22,5,1,0,0
JL Carter,4,113,160,3,37.67,70.62,50,13,1,1,0
JM Anderson,9,15,42,5,3.00,35.71,8,1,0,0,0
JM Bairstow,20,747,816,20,37.35,91.54,111,95,14,4,2
JM Davison,14,340,308,13,26.15,110.39,111,41,13,2,1
JM How,2,26,76,2,13.00,34.21,22,1,0,0,0
JM Kemp,5,74,149,3,24.67,49.66,49,5,2,0,0
JM Vince,3,40,51,3,13.33,78.43,26,5,0,0,0
JN Gillespie,1,6,4,0,0,150.00,6,1,0,0,0
JN Rhodes,1,2,6,1,2.00,33.33,2,0,0,0,0
JO Angara,1,0,2,0,0,0.00,0,0,0,0,0
JO Holder,10,325,294,10,32.50,110.54,57,28,17,3,0
JO Ngoche,2,10,24,1,10.00,41.67,9,0,1,0,0
JP Behrendorff,3,12,11,2,6.00,109.09,11,0,0,0,0
JP Bray,9,212,338,8,26.50,62.72,115,22,2,0,1
JP Duminy,16,458,461,13,35.23,99.35,115,31,9,1,1
JP Faulkner,4,44,25,3,14.67,176.00,21,6,2,0,0
JP Inglis,8,159,168,8,19.88,94.64,58,17,3,1,0
JP Maher,2,35,60,2,17.50,58.33,26,5,0,0,0
JR Hazlewood,4,4,5,2,2.00,80.00,2,0,0,0,0
JS Patel,2,34,39,1,34.00,87.18,34,2,1,0,0
Junaid Siddique,6,114,159,6,19.00,71.70,37,11,1,0,0
JV Harris,6,91,204,6,15.17,44.61,31,9,1,0,0
JWA Taylor,6,149,168,4,37.25,88.69,98,12,3,1,0
JWM Dalrymple,3,6,22,3,2.00,27.27,3,0,0,0,0
K Rabada,8,83,115,5,16.60,72.17,31,4,3,0,0
K Whatham,1,18,41,1,18.00,43.90,18,2,0,0,0
KA Edwards,1,17,17,1,17.00,100.00,17,1,1,0,0
KA Maharaj,6,59,80,3,19.67,73.75,40,7,1,0,0
KA Pollard,7,190,137,7,27.14,138.69,94,15,11,2,0
KAD Hurdle,3,6,11,2,3.00,54.55,6,0,1,0,0
KAJ Roach,7,47,106,4,11.75,44.34,16,5,1,0,0
Kamran Akmal,10,249,352,9,27.67,70.74,55,34,0,1,0
Kamran Shazad,1,0,3,1,0.00,0.00,0,0,0,0,0
KC Sangakkara,35,"1,532","1,770",27,56.74,86.55,124,147,14,7,5
KD Karthik,2,14,34,2,7.00,41.18,8,2,0,0,0
KD Mills,1,7,3,0,0,233.33,7,1,0,0,0
KED Carroll,1,0,2,1,0.00,0.00,0,0,0,0,0
Khaled Mahmud,2,35,64,2,17.50,54.69,23,2,1,0,0
Khaled Mashud,4,85,196,3,28.33,43.37,35,10,0,0,0
Khurram Chohan,4,39,66,3,13.00,59.09,22,4,1,0,0
Khurram Khan,6,155,212,6,25.83,73.11,45,15,1,0,0
KIC Asalanka,8,288,338,8,36.00,85.21,108,19,11,1,1
KJ Abbott,1,12,19,1,12.00,63.16,12,2,0,0,0
KJ Coetzer,6,253,282,6,42.17,89.72,156,33,4,1,1
KJ O'Brien,20,499,552,18,27.72,90.40,113,48,17,1,1
KJJ van Noortwijk,4,154,160,3,51.33,96.25,134,14,3,0,1
KL Rahul,19,813,964,14,58.07,84.34,111,69,14,4,2
KM Jadhav,4,80,99,2,40.00,80.81,52,6,1,1,0
KMDN Kulasekara,8,94,98,6,15.67,95.92,32,6,3,0,0
KO Otieno,9,182,370,9,20.22,49.19,79,18,4,2,0
KP Pietersen,13,575,684,12,47.92,84.06,104,53,7,4,2
Krishna Chandran,5,38,111,5,7.60,34.23,34,3,0,0,0
KS Williamson,26,"1,167","1,437",19,61.42,81.21,148,116,10,6,2
KT Sandher,1,2,6,1,2.00,33.33,2,0,0,0,0
