Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
Kuldeep Yadav,4,20,33,2,10.00,60.61,10,1,0,0,0
KW Richardson,1,1,1,0,0,100.00,1,0,0,0,0
L Klusener,3,91,77,1,91.00,118.18,57,5,6,1,0
L Ngidi,5,18,52,3,6.00,34.62,7,0,1,0,0
L Ronchi,7,73,62,6,12.17,117.74,29,11,1,0,0
L Vincent,6,118,162,6,19.67,72.84,101,11,1,0,1
LD Chandimal,1,52,24,0,0,216.67,52,8,1,1,0
LE Plunkett,7,93,78,2,46.50,119.23,29,8,2,0,0
LH Ferguson,5,11,15,3,3.67,73.33,6,1,1,0,0
Liton Das,14,468,521,13,36.00,89.83,94,48,10,3,0
LJ Burger,6,11,62,5,2.20,17.74,5,1,0,0,0
LJ Woodcock,1,3,3,0,0,100.00,3,0,0,0,0
LJ Wright,2,45,60,1,45.00,75.00,44,5,0,0,0
LL Tsotsobe,1,4,2,0,0,200.00,4,1,0,0,0
LMP Simmons,6,187,197,5,37.40,94.92,102,16,8,1,1
LN Onyango,2,16,35,2,8.00,45.71,10,0,0,0,0
LOB Cann,3,44,40,3,14.67,110.00,28,5,2,0,0
LP van Troost,8,101,149,7,14.43,67.79,26,10,2,0,0
LPC Silva,14,427,562,12,35.58,75.98,64,36,4,5,0
LRPL Taylor,30,"1,002","1,354",27,37.11,74.00,131,76,17,6,1
LS Livingstone,6,60,94,6,10.00,63.83,27,6,0,0,0
LV van Beek,8,140,179,6,23.33,78.21,59,9,3,1,0
M Dillon,3,22,19,3,7.33,115.79,10,1,1,0,0
M Jansen,8,157,142,5,31.40,110.56,75,9,9,1,0
M Kaif,10,182,316,9,20.22,57.59,68,16,1,1,0
M Karg,2,45,65,2,22.50,69.23,41,4,1,0,0
M Labuschagne,10,362,512,9,40.22,70.70,71,31,2,3,0
M Morkel,4,12,33,3,4.00,36.36,6,1,0,0,0
M Muralitharan,9,48,56,6,8.00,85.71,16,5,1,0,0
M Ntini,5,29,28,5,5.80,103.57,14,3,1,0,0
M Pathirana,2,6,19,1,6.00,31.58,5,1,0,0,0
M Theekshana,6,100,185,4,25.00,54.05,38,11,1,0,0
M van Schoor,5,58,111,4,14.50,52.25,24,3,1,0,0
M Zondeki,1,1,1,0,0,100.00,1,0,0,0,0
MA Leask,2,25,18,1,25.00,138.89,23,4,0,0,0
MA Ouma,8,97,220,8,12.12,44.09,58,9,1,1,0
MA Starc,17,155,230,15,10.33,67.39,29,10,3,0,0
MA Suji,6,43,72,3,14.33,59.72,15,1,1,0,0
MA Vermeulen,3,66,133,3,22.00,49.62,39,11,0,0,0
MA Wood,9,96,77,5,19.20,124.68,43,9,5,0,0
MADI Hemantha,2,4,4,1,4.00,100.00,4,1,0,0,0
Mahedi Hasan,3,33,73,2,16.50,45.21,17,2,0,0,0
Mahmudullah,22,944,"1,113",18,52.44,84.82,128,74,25,3,3
Manjural Islam,3,3,15,1,3.00,20.00,3,0,0,0,0
Mashrafe Mortaza,18,199,243,15,13.27,81.89,37,19,7,0,0
MBS Jonkman,1,0,2,1,0.00,0.00,0,0,0,0,0
MC Sorensen,1,22,19,1,22.00,115.79,22,3,1,0,0
MD Shanaka,2,80,80,2,40.00,100.00,68,6,3,1,0
MDKJ Perera,16,449,416,16,28.06,107.93,78,59,5,5,0
ME Trescothick,5,116,150,5,23.20,77.33,58,17,2,1,0
Mehidy Hasan Miraz,14,238,286,12,19.83,83.22,57,25,2,1,0
MEK Hussey,9,156,190,8,19.50,82.11,54,11,1,1,0
MF Maharoof,3,39,36,3,13.00,108.33,25,6,0,0,0
MG Bevan,5,148,264,3,49.33,56.06,74,11,2,2,0
MG Johnson,8,56,39,3,18.67,143.59,27,7,1,0,0
MH Cross,6,88,120,6,14.67,73.33,23,7,1,0,0
MH Yardy,3,19,33,3,6.33,57.58,13,1,0,0,0
Mirwais Ashraf,2,38,47,2,19.00,80.85,28,1,3,0,0
Misbah-ul-Haq,13,598,802,12,49.83,74.56,83,38,10,7,0
MJ Clarke,21,888,943,14,63.43,94.17,93,85,11,8,0
MJ Guptill,27,995,"1,126",23,43.26,88.37,237,109,24,4,2
MJ Henry,9,37,54,7,5.29,68.52,10,3,1,0,0
MJ Mason,1,0,5,1,0.00,0.00,0,0,0,0,0
MJ Prior,6,78,92,5,15.60,84.78,22,9,0,0,0
MJ Santner,15,174,180,7,24.86,96.67,36,10,7,0,0
ML Hayden,21,987,"1,062",19,51.95,92.94,158,106,23,2,3
MM Ali,16,362,376,15,24.13,96.28,128,35,11,0,1
MM Patel,4,26,35,4,6.50,74.29,15,3,0,0,0
MM Sharma,1,0,1,1,0.00,0.00,0,0,0,0,0
MN Samuels,16,460,600,14,32.86,76.67,133,42,12,2,1
MN van Wyk,4,65,88,4,16.25,73.86,42,8,1,0,0
MO Jones,1,1,8,1,1.00,12.50,1,0,0,0,0
MO Odumbe,8,211,204,5,42.20,103.43,52,18,2,1,0
Mohammad Amir,3,11,14,2,5.50,78.57,8,1,0,0,0
Mohammad Ashraful,16,299,399,11,27.18,74.94,87,37,2,2,0
Mohammad Hafeez,18,483,584,17,28.41,82.71,84,57,6,2,0
Mohammad Irfan,3,4,19,0,0,21.05,2,0,0,0,0
Mohammad Mithun,3,47,56,3,15.67,83.93,26,5,1,0,0
Mohammad Nabi,21,252,358,21,12.00,70.39,52,16,5,1,0
Mohammad Naveed,5,73,59,4,18.25,123.73,23,6,5,0,0
Mohammad Nawaz(3),4,81,97,3,27.00,83.51,39,5,3,0,0
Mohammad Rafique,10,102,157,7,14.57,64.97,41,6,4,0,0
Mohammad Rizwan,8,395,414,6,65.83,95.41,131,38,5,1,1
Mohammad Saifuddin,5,87,72,3,29.00,120.83,51,12,1,1,0
Mohammad Sami,2,17,44,2,8.50,38.64,12,1,0,0,0
Mohammad Shahzad,2,7,15,2,3.50,46.67,7,1,0,0,0
Mohammad Tauqir,5,8,43,3,2.67,18.60,3,0,0,0,0
Mohammad Wasim(1),2,23,23,1,23.00,100.00,16,2,2,0,0
Mohammad Yousuf,9,225,334,9,25.00,67.37,58,15,0,1,0
Mohammed Shami,10,20,35,6,3.33,57.14,6,2,0,0,0
Mohammed Siraj,1,9,8,0,0,112.50,9,1,0,0,0
Mominul Haque,2,4,6,2,2.00,66.67,3,0,0,0,0
Mosaddek Hossain,6,117,110,6,19.50,106.36,35,13,0,0,0
MP O'Dowd,9,138,200,9,15.33,69.00,42,22,2,0,0
MP Stoinis,12,174,190,10,17.40,91.58,35,22,4,0,0
MP Vaughan,14,348,490,14,24.86,71.02,79,43,2,3,0
MR Gillespie,1,2,8,1,2.00,25.00,2,0,0,0,0
MR Marsh,13,472,441,12,39.33,107.03,177,46,21,1,2
MS Atapattu,10,382,452,7,54.57,84.51,124,50,0,1,2
MS Chapman,6,84,71,5,16.80,118.31,39,10,1,0,0
MS Dhoni,25,780,867,18,43.33,89.97,91,59,15,5,0
MS Panesar,2,3,30,1,3.00,10.00,2,0,0,0,0
Mudassar Bukhari,6,68,90,5,13.60,75.56,24,4,3,0,0
Mujeeb Ur Rahman,11,79,69,7,11.29,114.49,28,9,3,0,0
Mushfiqur Rahim,37,"1,079","1,359",31,34.81,79.40,102,85,14,8,1
Mustafizur Rahman,9,43,96,7,6.14,44.79,20,4,1,0,0
MV Boucher,11,302,278,9,33.56,108.63,75,21,13,2,0
MW Machan,6,186,230,6,31.00,80.87,56,21,2,1,0
N Boje,2,54,62,1,54.00,87.10,29,6,0,0,0
N Hussain,3,24,42,3,8.00,57.14,15,3,0,0,0
N Ifill,2,16,43,2,8.00,37.21,9,2,0,0,0
N Pooran,8,367,366,7,52.43,100.27,118,33,10,2,1
N Pradeep,3,1,12,2,0.50,8.33,1,0,0,0,0
NA de Groot,6,44,127,6,7.33,34.65,17,6,0,0,0
NA Statham,2,7,44,2,3.50,15.91,7,0,0,0,0
Naeem Islam,5,40,75,5,8.00,53.33,29,4,0,0,0
Najibullah Zadran,16,360,436,15,24.00,82.57,56,38,8,2,0
Najmul Hossain Shant,9,222,289,8,27.75,76.82,90,25,1,2,0
NAM McLean,1,5,7,1,5.00,71.43,5,0,0,0,0
Nasir Aziz,1,60,86,1,60.00,69.77,60,8,0,1,0
Nasir Hossain,2,46,41,2,23.00,112.20,35,6,1,0,0
Nasir Jamal,1,17,52,1,17.00,32.69,17,2,0,0,0
Nasir Jamshed,3,5,23,3,1.67,21.74,4,0,0,0,0
Nasum Ahmed,3,40,48,3,13.33,83.33,19,5,0,0,0
Naved-ul-Hasan,1,11,29,1,11.00,37.93,11,0,0,0,0
Naveen-ul-Haq,5,16,25,4,4.00,64.00,9,2,0,0,0
Nawroz Mangal,6,108,209,6,18.00,51.67,33,7,2,0,0
NFI McCallum,2,25,64,2,12.50,39.06,24,3,1,0,0
NJ Astle,7,213,266,5,42.60,80.08,102,23,0,1,1
NJ O'Brien,21,620,827,19,32.63,74.97,79,57,6,5,0
NL McCullum,6,100,130,6,16.67,76.92,52,6,3,1,0
NLTC Perera,14,167,138,12,13.92,121.01,47,13,5,0,0
NM Coulter-Nile,3,98,72,3,32.67,136.11,92,8,4,1,0
NM Lyon,3,8,10,1,8.00,80.00,5,0,0,0,0
NN Odhiambo,5,56,78,3,18.67,71.79,44,7,0,0,0
NO Miller,2,16,13,0,0,123.08,11,2,0,0,0
Noor Ahmad,1,26,32,1,26.00,81.25,26,4,0,0,0
Noor Ali Zadran,3,63,103,3,21.00,61.17,32,9,0,0,0
NR Kumar,3,10,41,3,3.33,24.39,7,0,0,0,0
NS Poonia,2,1,6,2,0.50,16.67,1,0,0,0,0
NV Knight,5,103,134,5,20.60,76.87,51,13,1,1,0
O Thomas,6,13,47,2,6.50,27.66,6,1,0,0,0
OL Pitcher,3,28,81,3,9.33,34.57,22,2,0,0,0
P Nissanka,9,332,371,8,41.50,89.49,77,44,3,4,0
P Utseya,8,128,196,6,21.33,65.31,36,9,1,0,0
PA de Silva,8,267,299,8,33.38,89.30,92,27,7,2,0
PA Nixon,8,193,194,5,38.60,99.48,42,17,5,0,0
PA van Meekeren,8,26,54,6,4.33,48.15,7,3,0,0,0
PD Collingwood,18,474,604,12,39.50,78.48,90,37,6,3,0
PG Fulton,8,297,424,8,37.12,70.05,83,29,2,2,0
PG Gillespie,1,2,8,1,2.00,25.00,2,0,0,0,0
PHT Kaushal,1,0,1,1,0.00,0.00,0,0,0,0,0
PJ Cummins,17,186,284,11,16.91,65.49,37,17,5,0,0
PJ Ongondo,12,97,136,11,8.82,71.32,24,6,2,0,0
PJC Hoffmann,2,25,19,2,12.50,131.58,18,4,1,0,0
PJK Mooney,1,0,1,1,0.00,0.00,0,0,0,0,0
PL Mommsen,6,148,194,6,24.67,76.29,60,16,1,1,0
PM Seelaar,4,3,17,3,1.00,17.65,2,0,0,0,0
PP Chawla,1,2,4,1,2.00,50.00,2,0,0,0,0
PR Stirling,12,316,287,12,26.33,110.10,101,40,8,1,1
PSP Handscomb,1,4,12,1,4.00,33.33,4,0,0,0,0
PT Collins,1,1,1,0,0,100.00,1,0,0,0,0
PVD Chameera,6,20,53,4,5.00,37.74,12,1,0,0,0
PW Borren,8,199,216,7,28.43,92.13,84,22,3,1,0
PW Gunaratne,1,15,15,0,0,100.00,15,3,0,0,0
Q de Kock,27,"1,044","1,081",25,41.76,96.58,174,112,25,4,4
Qaiser Ali,1,6,16,1,6.00,37.50,6,1,0,0,0
R Ashwin,6,40,61,1,40.00,65.57,16,1,0,0,0
R Dravid,13,399,608,7,57.00,65.62,62,27,2,3,0
R Gunasekera,5,53,124,5,10.60,42.74,24,5,0,0,0
R Klein,1,8,15,1,8.00,53.33,8,0,0,0,0
R Rampaul,2,1,9,2,0.50,11.11,1,0,0,0,0
R Ravindra,10,578,543,9,64.22,106.45,123,55,17,2,3
R Walters,2,0,5,2,0.00,0.00,0,0,0,0,0
RA Jadeja,11,254,236,8,31.75,107.63,77,19,7,1,0
Rahat Ali,2,7,27,1,7.00,25.93,6,0,0,0,0
Rahmanullah Gurbaz,9,280,283,9,31.11,98.94,80,31,9,2,0
Rahmat Shah,18,574,809,17,33.76,70.95,77,59,3,4,0
RAP Nissanka,2,2,27,2,1.00,7.41,2,0,0,0,0
Raqibul Hasan,4,70,116,3,23.33,60.34,38,1,1,0,0
RAS Lakmal,4,34,50,1,34.00,68.00,15,3,0,0,0
Rashid Khan,15,210,215,14,15.00,97.67,35,18,9,0,0
Rashid Latif,5,122,107,4,30.50,114.02,36,9,3,0,0
RC Irani,2,12,9,2,6.00,133.33,12,2,0,0,0
RD Berrington,6,139,183,6,23.17,75.96,50,9,5,1,0
RD Jacobs,4,65,92,2,32.50,70.65,50,3,1,1,0
RD Shah,12,346,564,12,28.83,61.35,71,42,2,3,0
RDM Leverock,2,10,39,2,5.00,25.64,9,1,0,0,0
RE van der Merwe,8,68,85,8,8.50,80.00,29,4,3,0,0
RG Sharma,28,"1,575","1,493",26,60.58,105.49,140,166,54,6,7
RH Scholte,3,16,56,3,5.33,28.57,8,0,0,0,0
Rizwan Cheema,6,76,72,6,12.67,105.56,37,9,4,0,0
RJ Peterson,6,55,53,2,27.50,103.77,22,8,1,0,0
RJ van Vuuren,5,26,38,3,8.67,68.42,14,2,1,0,0
RJW Topley,2,16,9,0,0,177.78,15,3,0,0,0
RL Powell,5,113,72,4,28.25,156.94,50,10,6,1,0
RM Haq,7,82,150,7,11.71,54.67,31,11,0,0,0
RML Taylor,3,7,18,3,2.33,38.89,4,0,0,0,0
RN ten Doeschate,9,435,492,7,62.14,88.41,119,47,7,3,2
Rohan Mustafa,4,8,29,4,2.00,27.59,4,0,0,0,0
RP Arnold,17,210,314,10,21.00,66.88,50,11,0,1,0
RP Lefebvre,5,57,85,3,19.00,67.06,30,6,1,0,0
RR Hendricks,2,97,94,2,48.50,103.19,85,10,3,1,0
RR Pant,4,116,130,4,29.00,89.23,48,15,1,0,0
RR Patel,4,46,73,3,15.33,63.01,24,5,0,0,0
RR Rossouw,5,210,180,4,52.50,116.67,61,23,5,2,0
RR Sarwan,20,739,974,16,46.19,75.87,92,71,10,3,0
RR Watson,3,53,107,3,17.67,49.53,31,7,0,0,0
RS Bopara,12,306,427,9,34.00,71.66,60,25,2,2,0
RT Ponting,25,"1,160","1,321",22,52.73,87.81,140,97,25,5,4
Rubel Hossain,8,20,40,3,6.67,50.00,9,3,0,0,0
RV Uthappa,3,30,48,3,10.00,62.50,18,4,0,0,0
RW Chakabva,9,114,205,9,12.67,55.61,35,9,0,0,0
RW Price,4,37,59,2,18.50,62.71,11,4,0,0,0
S Chanderpaul,18,625,"1,024",16,39.06,61.04,102,47,13,4,1
S Dhaniram,3,81,87,1,81.00,93.10,34,7,2,0,0
S Dhawan,10,537,570,10,53.70,94.21,137,65,9,1,3
S Matsikenyeri,5,127,154,3,42.33,82.47,73,16,1,1,0
S Mukuddem,1,0,4,1,0.00,0.00,0,0,0,0,0
S Prasanna,2,12,16,2,6.00,75.00,9,1,0,0,0
S Samarawickrama,9,373,365,7,53.29,102.19,108,36,4,2,1
S Thuraisingam,3,25,39,3,8.33,64.10,13,3,1,0,0
SA Edwards,9,259,298,7,37.00,86.91,78,23,3,2,0
SA Engelbrecht,8,300,450,8,37.50,66.67,70,25,3,2,0
SA Yadav,7,106,105,6,17.67,100.95,49,12,1,0,0
Sabbir Rahman,8,218,222,7,31.14,98.20,53,23,5,1,0
Saeed Ajmal,2,1,10,1,1.00,10.00,1,0,0,0,0
Saeed Anwar,5,218,303,4,54.50,71.95,101,19,1,0,1
Saleem Elahi,4,102,150,4,25.50,68.00,63,9,0,1,0
Samiullah Shinwari,9,328,536,7,46.86,61.19,96,26,7,2,0
Sanwar Hossain,5,47,58,4,11.75,81.03,25,4,0,0,0
Saqib Zulfiqar,2,13,33,2,6.50,39.39,10,1,0,0,0
Saqlain Haider,1,7,12,1,7.00,58.33,7,1,0,0,0
Saqlain Mushtaq,3,16,37,1,16.00,43.24,12,2,0,0,0
Sarfaraz Ahmed,11,303,353,7,43.29,85.84,101,22,3,1,1
Saud Shakeel,7,241,246,7,34.43,97.97,68,30,1,2,0
Sayed Shirzad,1,25,17,1,25.00,147.06,25,2,2,0,0
SB Styris,22,909,"1,026",17,53.47,88.60,141,69,17,6,2
SC Ganguly,14,627,831,11,57.00,75.45,112,41,17,2,3
SC Williams,11,492,486,9,54.67,101.23,96,43,8,5,0
SCJ Broad,6,18,28,4,4.50,64.29,9,0,1,0,0
SD Hope,8,274,389,8,34.25,70.44,96,21,3,3,0
SD Outerbridge,2,9,20,2,4.50,45.00,9,1,0,0,0
SE Bond,4,7,25,2,3.50,28.00,3,0,0,0,0
SE Marsh,2,26,35,2,13.00,74.29,23,2,0,0,0
SF Burger,2,11,20,2,5.50,55.00,6,1,0,0,0
SF Mire,5,64,104,5,12.80,61.54,27,4,2,0,0
Shadab Khan,11,164,159,8,20.50,103.14,43,11,4,0,0
Shafiqullah,1,30,64,1,30.00,46.88,30,1,0,0,0
Shafiul Islam,5,26,50,4,6.50,52.00,24,4,1,0,0
Shahadat Hossain,1,0,2,0,0,0.00,0,0,0,0,0
Shaheen Shah Afridi,7,56,66,4,14.00,84.85,25,7,1,0,0
Shahid Afridi,17,232,185,16,14.50,125.41,28,22,9,0,0
Shahriar Nafees,8,73,148,8,9.12,49.32,37,7,1,0,0
Shaiman Anwar,6,311,340,6,51.83,91.47,106,34,4,2,1
Shakib Al Hasan,36,"1,332","1,619",32,41.62,82.27,124,128,12,11,2
Shapoor Zadran,5,17,21,0,0,80.95,12,2,0,0,0
Shariz Ahmad,1,6,8,1,6.00,75.00,6,0,0,0,0
Shoaib Akhtar,5,72,53,2,36.00,135.85,43,5,4,0,0
Shoaib Malik,6,100,122,6,16.67,81.97,62,10,2,1,0
Shoriful Islam,5,28,28,1,28.00,100.00,12,3,1,0,0
Shubman Gill,9,354,331,8,44.25,106.95,92,41,12,4,0
SI Mahmood,3,2,5,2,1.00,40.00,2,0,0,0,0
Sikandar Raza,6,125,126,6,20.83,99.21,46,15,4,0,0
SJ Benn,7,26,42,5,5.20,61.90,9,3,0,0,0
SJ Swanepoel,5,43,95,5,8.60,45.26,23,4,0,0,0
SK Raina,9,358,333,6,59.67,107.51,110,30,9,2,1
SL Malinga,13,33,59,11,3.00,55.93,10,2,2,0,0
SM Curran,3,35,57,3,11.67,61.40,14,1,0,0,0
SM Ervine,2,43,33,1,43.00,130.30,31,5,1,0,0
SM Pollock,9,134,167,8,16.75,80.24,32,4,3,0,0
SMSM Senanayake,1,7,8,1,7.00,87.50,7,1,0,0,0
SO Hetmyer,8,257,253,7,36.71,101.58,54,25,6,2,0
SO Ngoche,3,0,3,3,0.00,0.00,0,0,0,0,0
SO Tikolo,17,405,636,16,25.31,63.68,76,43,3,4,0
Sohaib Maqsood,6,153,176,6,25.50,86.93,50,12,3,1,0
Sohail Khan,5,21,42,4,5.25,50.00,7,1,0,0,0
Soumya Sarkar,14,341,362,14,24.36,94.20,51,47,5,1,0
SP Fleming,18,674,783,16,42.12,86.08,134,91,11,3,2
SP Patil,6,140,253,5,28.00,55.34,57,12,0,1,0
SPD Smith,30,"1,136","1,304",27,42.07,87.12,105,104,9,10,1
SR Tendulkar,23,"1,219","1,336",22,55.41,91.24,152,131,17,9,3
SR Thompson,2,14,17,2,7.00,82.35,12,1,0,0,0
SR Waters,4,38,90,4,9.50,42.22,17,3,0,0,0
SR Watson,19,643,595,12,53.58,108.07,94,67,17,6,0
SS Cottrell,5,33,47,4,8.25,70.21,15,3,1,0,0
SS Iyer,11,530,468,8,66.25,113.25,128,37,24,3,2
ST Finn,3,2,15,2,1.00,13.33,1,0,0,0,0
ST Gabriel,2,3,10,1,3.00,30.00,3,0,0,0,0
ST Jayasuriya,21,788,895,18,43.78,88.04,120,78,16,4,3
SW Ambris,2,36,46,2,18.00,78.26,31,3,0,0,0
SW Tait,1,0,1,0,0,0.00,0,0,0,0,0
Syed Rasel,4,16,34,4,4.00,47.06,10,2,0,0,0
T Bavuma,8,145,197,8,18.12,73.60,35,18,3,0,0
T Duffin,1,12,22,1,12.00,54.55,12,2,0,0,0
T Mishra,8,170,260,7,24.29,65.38,72,16,1,2,0
T Mupariwa,4,19,14,3,6.33,135.71,18,2,1,0,0
T Panyangara,7,33,64,6,5.50,51.56,10,3,0,0,0
T Shamsi,3,9,15,0,0,60.00,4,1,0,0,0
T Taibu,12,306,443,10,30.60,69.07,98,24,1,3,0
TA Boult,10,31,47,2,15.50,65.96,10,2,1,0,0
Talha Jubair,1,4,8,0,0,50.00,4,1,0,0,0
TAM Siriwardana,1,3,4,1,3.00,75.00,3,0,0,0,0
Tamim Iqbal,29,718,982,29,24.76,73.12,95,83,4,4,0
Tanzid Hasan,9,145,152,9,16.11,95.39,51,22,3,1,0
Tanzim Hasan Sakib,1,5,6,0,0,83.33,5,1,0,0,0
Tapash Baisya,2,5,27,2,2.50,18.52,5,0,0,0,0
Taskin Ahmed,7,50,97,6,8.33,51.55,17,1,3,0,0
Taufeeq Umar,3,91,146,3,30.33,62.33,48,14,0,0,0
TBM de Leede,8,133,239,7,19.00,55.65,58,11,2,1,0
TG Gordon,4,23,53,4,5.75,43.40,9,2,0,0,0
TG Southee,9,60,76,7,8.57,78.95,12,4,2,0,0
TJ Friend,1,21,20,1,21.00,105.00,21,4,0,0,0
TL Chatara,4,23,35,3,7.67,65.71,16,2,0,0,0
TLW Cooper,6,174,259,5,34.80,67.18,55,18,0,1,0
TM Dilshan,25,"1,112","1,196",21,52.95,92.98,161,122,9,4,4
TM Head,6,329,258,6,54.83,127.52,137,37,13,1,2
TM Odoyo,14,304,478,12,25.33,63.60,51,32,4,1,0
TN de Grooth,5,50,88,5,10.00,56.82,28,3,0,0,0
Towhid Hridoy,6,164,210,5,32.80,78.10,74,7,5,1,0
TP Kamungozi,1,6,9,0,0,66.67,6,1,0,0,0
TT Bresnan,5,41,50,4,10.25,82.00,20,2,1,0,0
TT Samaraweera,7,110,149,3,36.67,73.83,34,11,0,0,0
Tushar Imran,2,9,27,1,9.00,33.33,9,0,0,0,0
TWM Latham,17,310,386,14,22.14,80.31,68,20,4,3,0
U Bhatti,2,11,30,2,5.50,36.67,10,1,0,0,0
Umar Akmal,13,404,480,11,36.73,84.17,71,38,7,2,0
Umar Gul,6,49,52,4,12.25,94.23,34,5,1,0,0
Usama Mir,1,0,3,1,0.00,0.00,0,0,0,0,0
Usman Ghani,2,12,22,2,6.00,54.55,12,0,0,0,0
UT Khawaja,9,316,358,9,35.11,88.27,89,30,1,2,0
UT Yadav,1,0,5,1,0.00,0.00,0,0,0,0,0
V Kohli,37,"1,795","2,035",30,59.83,88.21,117,159,14,12,5
V Sehwag,22,843,794,22,38.32,106.17,175,109,18,3,2
V Shankar,3,58,75,2,29.00,77.33,29,6,0,0,0
V Sibanda,5,134,163,5,26.80,82.21,67,17,1,2,0
VC Drakes,4,42,70,2,21.00,60.00,25,2,0,0,0
VD Philander,2,10,8,1,10.00,125.00,10,1,0,0,0
Vikramjit Singh,6,98,150,6,16.33,65.33,52,12,1,1,0
W Barresi,10,236,344,10,23.60,68.60,44,29,3,0,0
WA Young,6,206,246,6,34.33,83.74,70,23,6,2,0
Wahab Riaz,14,179,171,11,16.27,104.68,54,15,8,1,0
Waqar Younis,4,17,23,4,4.25,73.91,8,1,0,0,0
Wasim Akram,5,71,69,3,23.67,102.90,33,10,1,0,0
WB Rankin,8,24,70,2,12.00,34.29,7,1,0,0,0
WD Balaji Rao,5,22,41,5,4.40,53.66,9,2,0,0,0
WD Parnell,2,17,29,1,17.00,58.62,17,1,0,0,0
WF Stelling,1,1,4,0,0,25.00,1,0,0,0,0
WIA Fernando,4,203,192,4,50.75,105.73,104,23,4,0,1
WK McCallan,8,33,75,7,4.71,44.00,20,2,0,0,0
WPUJC Vaas,12,136,200,7,19.43,68.00,28,10,2,0,0
WTS Porterfield,21,627,"1,058",21,29.86,59.26,107,50,4,4,1
WU Tharanga,21,697,923,19,36.68,75.51,133,79,4,4,2
WW Hinds,6,108,134,6,18.00,80.60,64,16,3,1,0
XJ Doherty,1,0,1,0,0,0.00,0,0,0,0,0
Yasir Shah,1,13,23,1,13.00,56.52,13,1,0,0,0
YK Pathan,6,74,64,5,14.80,115.62,30,5,5,0,0
Younis Khan,17,349,493,16,21.81,70.79,72,23,1,2,0
YS Chahal,1,5,5,1,5.00,100.00,5,1,0,0,0
Yuvraj Singh,21,738,817,14,52.71,90.33,113,68,13,7,1
Z Khan,10,52,70,9,5.78,74.29,15,6,0,0,0
ZE Surkari,6,104,231,6,17.33,45.02,34,7,0,0,0
